tau,scaled_phenyl_acetate
1.02,0.00018101
1.04,0.00036203
1.06,0.00054304
1.08,0.00072406
1.11,0.00099558
1.14,0.0012671
1.16,0.00144812
1.19,0.00171964
1.22,0.00199116
1.25,0.00226268
1.29,0.00262471
1.32,0.00289623
1.36,0.00325826
1.4,0.00362029
1.44,0.00398232
1.49,0.00443486
1.53,0.00463397
1.58,0.00481499
1.64,0.00503221
1.7,0.00524942
1.76,0.00546664
1.82,0.00568386
1.89,0.00593728
1.97,0.0062269
2.05,0.0085982
2.14,0.01267102
2.24,0.01719639
2.35,0.02217429
2.47,0.02760473
2.6,0.03167756
2.74,0.03547887
2.9,0.03982322
3.08,0.04137995
3.28,0.03848371
3.51,0.03549697
3.77,0.04067399
4.06,0.04568809
4.41,0.0482223
4.81,0.05785228
5.28,0.07197142
5.83,0.07217053
6.49,0.07144648
7.29,0.08980136
8.24,0.09108656
9.4,0.08525789
10.79,0.0989426
